"Service Name","Port","Protocol","Description","Risk","DDoS Risk","Open Port Danger","Prepare for Open Port","Recommended Action"
"rlp","39","UDP","Resource Location Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"graphics","41","TCP","Graphics - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"graphics","41","UDP","Graphics - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"name","42","TCP","Host Name Server - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"name","42","UDP","Host Name Server - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"nameserver","42","TCP","Host Name Server - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"nameserver","42","UDP","Host Name Server - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"nicname","43","TCP","Who Is - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"nicname","43","UDP","Who Is - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"mpm-flags","44","TCP","MPM FLAGS Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"mpm-flags","44","UDP","MPM FLAGS Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"mpm","45","TCP","Message Processing Module [recv] - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"mpm","45","UDP","Message Processing Module [recv] - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"mpm-snd","46","TCP","MPM [default send] - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"mpm-snd","46","UDP","MPM [default send] - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"","47","TCP","Reserved - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"","47","UDP","Reserved - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"auditd","48","TCP","Digital Audit Daemon - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"auditd","48","UDP","Digital Audit Daemon - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"tacacs","49","TCP","Login Host Protocol (TACACS) - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"tacacs","49","UDP","Login Host Protocol (TACACS) - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"re-mail-ck","50","TCP","Remote Mail Checking Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"re-mail-ck","50","UDP","Remote Mail Checking Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"","51","","Reserved - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Unknown protocol. Apply general security measures.","No immediate threat, but stay alert."
"xns-time","52","TCP","XNS Time Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"xns-time","52","UDP","XNS Time Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"domain","53","TCP","Domain Name Server - Managed by network admin","Very High Risk","Very High Risk","DNS can be misused for attacks if not secured.","Enable DNSSEC and monitor for unusual activity.","Monitor closely and take precautions."
"domain","53","UDP","Domain Name Server - Managed by network admin","Very High Risk","Very High Risk","DNS can be misused for attacks if not secured.","Enable DNSSEC and monitor for unusual activity.","Monitor closely and take precautions."
"xns-ch","54","TCP","XNS Clearinghouse - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"xns-ch","54","UDP","XNS Clearinghouse - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"isi-gl","55","TCP","ISI Graphics Language - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"isi-gl","55","UDP","ISI Graphics Language - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"xns-auth","56","TCP","XNS Authentication - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"xns-auth","56","UDP","XNS Authentication - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"","57","TCP","any private terminal access - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"","57","UDP","any private terminal access - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"xns-mail","58","TCP","XNS Mail - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"xns-mail","58","UDP","XNS Mail - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"","59","TCP","any private file service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"","59","UDP","any private file service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"","61","TCP","Reserved - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"","61","UDP","Reserved - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"acas","62","TCP","ACA Services - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"acas","62","UDP","ACA Services - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"whoispp","63","TCP","whois++ IANA assigned this well-formed service name as a replacement for ""whois++"". - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"whois++","63","TCP","whois++ - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"whoispp","63","UDP","whois++ IANA assigned this well-formed service name as a replacement for ""whois++"". - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"whois++","63","UDP","whois++ - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"covia","64","TCP","Communications Integrator (CI) - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"covia","64","UDP","Communications Integrator (CI) - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"tacacs-ds","65","TCP","TACACS-Database Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"tacacs-ds","65","UDP","TACACS-Database Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"sql-net","66","TCP","Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"". - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"sql*net","66","TCP","Oracle SQL*NET - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"sql-net","66","UDP","Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"". - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"sql*net","66","UDP","Oracle SQL*NET - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"bootps","67","TCP","Bootstrap Protocol Server - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"bootps","67","UDP","Bootstrap Protocol Server - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"bootpc","68","TCP","Bootstrap Protocol Client - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"bootpc","68","UDP","Bootstrap Protocol Client - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"tftp","69","TCP","Trivial File Transfer - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"tftp","69","UDP","Trivial File Transfer - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"gopher","70","TCP","Gopher - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"gopher","70","UDP","Gopher - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"netrjs-1","71","TCP","Remote Job Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"netrjs-1","71","UDP","Remote Job Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"netrjs-2","72","TCP","Remote Job Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"netrjs-2","72","UDP","Remote Job Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"netrjs-3","73","TCP","Remote Job Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"netrjs-3","73","UDP","Remote Job Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"netrjs-4","74","TCP","Remote Job Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"netrjs-4","74","UDP","Remote Job Service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"","75","TCP","any private dial out service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"","75","UDP","any private dial out service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"deos","76","TCP","Distributed External Object Store - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"deos","76","UDP","Distributed External Object Store - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"","77","TCP","any private RJE service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"","77","UDP","any private RJE service - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"vettcp","78","TCP","vettcp - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"vettcp","78","UDP","vettcp - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"finger","79","TCP","Finger - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"finger","79","UDP","Finger - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"http","80","TCP","World Wide Web HTTP - Managed by network admin","Very High Risk","Very High Risk","HTTP doesn't encrypt data, which can be risky.","Redirect traffic to HTTPS to secure communications.","Monitor closely and take precautions."
"http","80","UDP","World Wide Web HTTP - Managed by network admin","Very High Risk","Very High Risk","HTTP doesn't encrypt data, which can be risky.","Redirect traffic to HTTPS to secure communications.","Monitor closely and take precautions."
"www","80","TCP","World Wide Web HTTP - Managed by network admin","Very High Risk","Very High Risk","HTTP doesn't encrypt data, which can be risky.","Redirect traffic to HTTPS to secure communications.","Monitor closely and take precautions."
"www","80","UDP","World Wide Web HTTP - Managed by network admin","Very High Risk","Very High Risk","HTTP doesn't encrypt data, which can be risky.","Redirect traffic to HTTPS to secure communications.","Monitor closely and take precautions."
"www-http","80","TCP","World Wide Web HTTP - Managed by network admin","Very High Risk","Very High Risk","HTTP doesn't encrypt data, which can be risky.","Redirect traffic to HTTPS to secure communications.","Monitor closely and take precautions."
"www-http","80","UDP","World Wide Web HTTP - Managed by network admin","Very High Risk","Very High Risk","HTTP doesn't encrypt data, which can be risky.","Redirect traffic to HTTPS to secure communications.","Monitor closely and take precautions."
"http","80","SCTP","HTTP - Managed by network admin","Very High Risk","Very High Risk","HTTP doesn't encrypt data, which can be risky.","Redirect traffic to HTTPS to secure communications.","Monitor closely and take precautions."
